symbol,name,weight
HRB,H&R Block Inc.,0.181167
UBSI,United Bankshares Inc.,0.180715
HR,Healthcare Realty Trust Incorporated Class A,0.178362
INGR,Ingredion Incorporated,0.177578
WFRD,Weatherford International plc,0.177495
PCTY,Paylocity Holding Corp.,0.177463
ST,Sensata Technologies Holding PLC,0.176991
CROX,Crocs Inc.,0.176493
AMKR,Amkor Technology Inc.,0.176433
LNTH,Lantheus Holdings Inc,0.176089
EXP,Eagle Materials Inc.,0.175872
IESC,IES Holdings Inc.,0.175819
BROS,Dutch Bros Inc. Class A,0.174797
MTG,MGIC Investment Corporation,0.174762
BIO,Bio-Rad Laboratories Inc. Class A,0.174313
HWC,Hancock Whitney Corporation,0.172596
BRKR,Bruker Corporation,0.172488
GBCI,Glacier Bancorp Inc.,0.171819
LSTR,Landstar System Inc.,0.171492
ESNT,Essent Group Ltd.,0.171064
FND,Floor & Decor Holdings Inc. Class A,0.170594
GATX,GATX Corporation,0.170502
M,Macy's Inc.,0.16847
VNO,Vornado Realty Trust,0.167945
PBF,PBF Energy Inc. Class A,0.167364
CVLT,Commvault Systems Inc.,0.167008
CRUS,Cirrus Logic Inc.,0.16567
LEA,Lear Corporation,0.164616
AVAV,AeroVironment Inc.,0.163672
HIMS,Hims & Hers Health Inc. Class A,0.163369
MTDR,Matador Resources Company,0.161385
RYN,Rayonier Inc.,0.161321
AGCO,AGCO Corporation,0.160147
ULS,UL Solutions Inc. Class A,0.160134
AAON,AAON Inc.,0.159707
NOVT,Novanta Inc,0.159594
SWX,Southwest Gas Holdings Inc.,0.158942
CHDN,Churchill Downs Incorporated,0.157877
RLI,RLI Corp.,0.157634
HOMB,Home BancShares Inc.,0.157344
POR,Portland General Electric Company,0.156069
DUOL,Duolingo Inc. Class A,0.155356
FBIN,Fortune Brands Innovations Inc.,0.154802
SON,Sonoco Products Company,0.154471
TXNM,TXNM Energy Inc.,0.153213
STWD,Starwood Property Trust Inc.,0.152676
BKH,Black Hills Corporation,0.150827
SIGI,Selective Insurance Group Inc.,0.150617
NJR,New Jersey Resources Corporation,0.150188
GXO,GXO Logistics Inc,0.149077
WH,Wyndham Hotels & Resorts Inc.,0.149054
MSM,MSC Industrial Direct Co. Inc. Class A,0.148795
VAL,Valaris Ltd.,0.146906
ALGM,Allegro MicroSystems Inc.,0.146793
SAIC,Science Applications International Corp.,0.146281
BSY,Bentley Systems Incorporated Class B,0.146023
ELF,e.l.f. Beauty Inc.,0.145648
G,Genpact Limited,0.145176
NXST,Nexstar Media Group Inc.,0.145109
EXLS,ExlService Holdings Inc.,0.144796
CHWY,Chewy Inc. Class A,0.144553
DBX,Dropbox Inc. Class A,0.144188
KRG,Kite Realty Group Trust,0.14408
OZK,Bank OZK,0.143636
BDC,Belden Inc.,0.143127
BC,Brunswick Corporation,0.14206
VICR,Vicor Corporation,0.141899
ALK,Alaska Air Group Inc.,0.14182
SIRI,SiriusXM Holdings Inc.,0.141376
ASB,Associated Banc-Corp,0.140772
SLM,SLM Corp,0.140177
AN,AutoNation Inc.,0.14014
TREX,Trex Company Inc.,0.139419
MTN,Vail Resorts Inc.,0.13884
UFPI,UFP Industries Inc.,0.138123
SARO,StandardAero Inc.,0.13767
CNO,CNO Financial Group Inc.,0.137193
OGS,ONE Gas Inc.,0.136235
SBRA,Sabra Health Care REIT Inc.,0.136159
GNTX,Gentex Corporation,0.13523
SHC,Sotera Health Company,0.135156
CNX,CNX Resources Corporation,0.134119
CUZ,Cousins Properties Incorporated,0.131997
SR,Spire Inc.,0.13136
APPF,AppFolio Inc Class A,0.131322
RYAN,Ryan Specialty Holdings Inc. Class A,0.130719
ESAB,ESAB Corporation,0.130526
ANF,Abercrombie & Fitch Co. Class A,0.13045
MIDD,Middleby Corporation,0.130428
VFC,V.F. Corporation,0.129805
KBR,KBR Inc.,0.12964
EPR,EPR Properties,0.126485
BCO,Brink's Company,0.126398
LPX,Louisiana-Pacific Corporation,0.126298
OLLI,Ollie's Bargain Outlet Holdings Inc,0.126275
MUR,Murphy Oil Corporation,0.125609
TNL,Travel + Leisure Co.,0.125092
VNT,Vontier Corp,0.124799
FHI,Federated Hermes Inc. Class B,0.123318
FFIN,First Financial Bankshares Inc,0.122731
BYD,Boyd Gaming Corporation,0.122708
NVST,Envista Holdings Corp.,0.122435
MORN,Morningstar Inc.,0.122269
CELH,Celsius Holdings Inc.,0.122224
BILL,BILL Holdings Inc.,0.121865
GAP,Gap Inc.,0.121755
FCN,FTI Consulting Inc.,0.121551
LIVN,LivaNova Plc,0.120994
CBT,Cabot Corporation,0.119327
ACI,Albertsons Companies Inc. Class A,0.118303
TCBI,Texas Capital Bancshares Inc.,0.117986
NWE,NorthWestern Energy Group Inc.,0.11787
HLNE,Hamilton Lane Incorporated Class A,0.117361
MAT,Mattel Inc.,0.115862
VVV,Valvoline Inc.,0.1154
FLG,Flagstar Bank National Association,0.114748
AVNT,Avient Corporation,0.113332
CDP,COPT Defense Properties,0.11274
HAE,Haemonetics Corporation,0.112536
THO,Thor Industries Inc.,0.111164
SYNA,Synaptics Incorporated,0.111096
PAG,Penske Automotive Group Inc.,0.107863
IRT,Independence Realty Trust Inc.,0.10717
IBOC,International Bancshares Corporation,0.106409
KRC,Kilroy Realty Corporation,0.106056
OLED,Universal Display Corporation,0.105967
GHC,Graham Holdings Co. Class B,0.105185
PLNT,Planet Fitness Inc. Class A,0.1041
LOPE,Grand Canyon Education Inc.,0.102089
OPCH,Option Care Health Inc,0.101274
DLB,Dolby Laboratories Inc. Class A,0.10085
PVH,PVH Corp.,0.100811
BBWI,Bath & Body Works Inc.,0.100527
KNF,Knife River Corporation,0.100244
PII,Polaris Inc.,0.099393
WMG,Warner Music Group Corp. Class A,0.099289
SLGN,Silgan Holdings Inc.,0.09911
DOCS,Doximity Inc. Class A,0.095336
KBH,KB Home,0.094555
GPK,Graphic Packaging Holding Company,0.093869
YETI,YETI Holdings Inc.,0.092299
BHF,Brighthouse Financial Inc.,0.091229
ASH,Ashland Inc.,0.089992
EXPO,Exponent Inc.,0.088662
POST,Post Holdings Inc.,0.08607
KD,Kyndryl Holdings Incorporation,0.084207
WING,Wingstop Inc.,0.083112
PK,Park Hotels & Resorts Inc.,0.081093
PEGA,Pegasystems Inc.,0.08098
MMS,MAXIMUS Inc.,0.07892
HOG,Harley-Davidson Inc.,0.078553
VC,Visteon Corporation,0.076709
FOUR,Shift4 Payments Inc. Class A,0.075499
RH,RH,0.074566
WHR,Whirlpool Corporation,0.074426
SMG,Scotts Miracle-Gro Company Class A,0.074087
HGV,Hilton Grand Vacations Inc.,0.072262
WLK,Westlake Corporation,0.071577
EEFT,Euronet Worldwide Inc.,0.07043
PSN,Parsons Corporation,0.068209
CXT,Crane NXT Co.,0.068194
MZTI,Marzetti Company,0.063841
CAR,Avis Budget Group Inc.,0.062236
XRAY,DENTSPLY SIRONA Inc.,0.062157
GEF,Greif Inc Class A,0.058795
OLN,Olin Corporation,0.058168
IPGP,IPG Photonics Corporation,0.057275
CHH,Choice Hotels International Inc.,0.056871
CPRI,Capri Holdings Limited,0.049809
COLM,Columbia Sportswear Company,0.037218
SAM,Boston Beer Company Inc. Class A,0.037031
PPC,Pilgrim's Pride Corporation,0.031671
